# ProteinCoLoc v2.0 external ground-truth corpus manifest — pre-registration (D-08)
# MANIFEST_SCHEMA_VERSION = 1   # bump on schema shape/meaning change
# CORPUS_MASTER_SEED      = 0x0000000000c05eed  # Random123 (Philox) corpus master seed
anchor_id,tier,role,truth_label,coloc_ground_truth,accession,source_url,citation,license,format,channels,sha256,split,bytes
cbs-RG-000,simulated-secondary,benchmark,simulated-degree,0.0,CBS/Red-Green/0,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,eval,0
cbs-RG-010,simulated-secondary,benchmark,simulated-degree,0.1,CBS/Red-Green/10,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RG-020,simulated-secondary,benchmark,simulated-degree,0.2,CBS/Red-Green/20,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RG-030,simulated-secondary,benchmark,simulated-degree,0.3,CBS/Red-Green/30,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RG-040,simulated-secondary,benchmark,simulated-degree,0.4,CBS/Red-Green/40,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RG-050,simulated-secondary,benchmark,simulated-degree,0.5,CBS/Red-Green/50,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,eval,0
cbs-RG-060,simulated-secondary,benchmark,simulated-degree,0.6,CBS/Red-Green/60,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RG-070,simulated-secondary,benchmark,simulated-degree,0.7,CBS/Red-Green/70,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,eval,0
cbs-RG-080,simulated-secondary,benchmark,simulated-degree,0.8,CBS/Red-Green/80,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,eval,0
cbs-RG-090,simulated-secondary,benchmark,simulated-degree,0.9,CBS/Red-Green/90,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,G",,dev,0
cbs-RB-000,simulated-secondary,benchmark,simulated-degree,0.0,CBS/Red-Blue/0,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,eval,0
cbs-RB-010,simulated-secondary,benchmark,simulated-degree,0.1,CBS/Red-Blue/10,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,eval,0
cbs-RB-020,simulated-secondary,benchmark,simulated-degree,0.2,CBS/Red-Blue/20,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-RB-030,simulated-secondary,benchmark,simulated-degree,0.3,CBS/Red-Blue/30,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,eval,0
cbs-RB-040,simulated-secondary,benchmark,simulated-degree,0.4,CBS/Red-Blue/40,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-RB-050,simulated-secondary,benchmark,simulated-degree,0.5,CBS/Red-Blue/50,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,eval,0
cbs-RB-060,simulated-secondary,benchmark,simulated-degree,0.6,CBS/Red-Blue/60,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-RB-070,simulated-secondary,benchmark,simulated-degree,0.7,CBS/Red-Blue/70,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-RB-080,simulated-secondary,benchmark,simulated-degree,0.8,CBS/Red-Blue/80,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-RB-090,simulated-secondary,benchmark,simulated-degree,0.9,CBS/Red-Blue/90,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"R,B",,dev,0
cbs-GB-000,simulated-secondary,benchmark,simulated-degree,0.0,CBS/Green-Blue/0,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,dev,0
cbs-GB-010,simulated-secondary,benchmark,simulated-degree,0.1,CBS/Green-Blue/10,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-020,simulated-secondary,benchmark,simulated-degree,0.2,CBS/Green-Blue/20,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-030,simulated-secondary,benchmark,simulated-degree,0.3,CBS/Green-Blue/30,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-040,simulated-secondary,benchmark,simulated-degree,0.4,CBS/Green-Blue/40,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-050,simulated-secondary,benchmark,simulated-degree,0.5,CBS/Green-Blue/50,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-060,simulated-secondary,benchmark,simulated-degree,0.6,CBS/Green-Blue/60,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-070,simulated-secondary,benchmark,simulated-degree,0.7,CBS/Green-Blue/70,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
cbs-GB-080,simulated-secondary,benchmark,simulated-degree,0.8,CBS/Green-Blue/80,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,dev,0
cbs-GB-090,simulated-secondary,benchmark,simulated-degree,0.9,CBS/Green-Blue/90,https://colocalization-benchmark.com/download/,Zinchuk & Grossenbacher-Zinchuk 2014; Colocalization Benchmark Source (www.colocalization-benchmark.com),CC-BY-NC-SA-4.0,tiff,"G,B",,eval,0
